Setting in design.json,Setting in MakeHuman,Comment,Example
,nose/nose-scale-depth-decr|incr,"-1 .. 1, default 0",
,torso/torso-scale-depth-decr|incr,"-1 .. 1, default 0",
scale_depth_of_nape,neck/neck-back-scale-depth-decr|incr,"-1 .. 1, default 0",
scale_depth_of_parietal_side,head/head-back-scale-depth-decr|incr,"-1 .. 1, default 0",
scale_ear,ears/r-ear-scale-decr|incr,"-1 .. 1, default 0",
,ears/l-ear-scale-decr|incr,"-1 .. 1, default 0",
scale_eye,eyes/r-eye-scale-decr|incr,"-1 .. 1, default 0",
,eyes/l-eye-scale-decr|incr,"-1 .. 1, default 0",
scale_foot,armslegs/l-foot-scale-decr|incr,"-1 .. 1, default 0",
,armslegs/r-foot-scale-decr|incr,"-1 .. 1, default 0",
scale_hand,armslegs/l-hand-scale-decr|incr,"-1 .. 1, default 0",
,armslegs/r-hand-scale-decr|incr,"-1 .. 1, default 0",
scale_height,ears/r-ear-scale-vert-decr|incr,"-1 .. 1, default 0",
,ears/l-ear-scale-vert-decr|incr,"-1 .. 1, default 0",
scale_height_1,eyes/r-eye-height1-decr|incr,"-1 .. 1, default 0",
,eyes/l-eye-height1-decr|incr,"-1 .. 1, default 0",
scale_height_2,eyes/l-eye-height2-decr|incr,"-1 .. 1, default 0",
,eyes/r-eye-height2-decr|incr,"-1 .. 1, default 0",
scale_height_3,eyes/l-eye-height3-decr|incr,"-1 .. 1, default 0",
,eyes/r-eye-height3-decr|incr,"-1 .. 1, default 0",
scale_horizontally_neck,neck/neck-scale-horiz-decr|incr,"-1 .. 1, default 0",
scale_horizontally_nose,nose/nose-scale-horiz-decr|incr,"-1 .. 1, default 0",
scale_horizontally_torso,torso/torso-scale-horiz-decr|incr,"-1 .. 1, default 0",
scale_horizontally_mouth,mouth/mouth-scale-horiz-decr|incr,"-1 .. 1, default 0",
scale_horizontally_hip,hip/hip-scale-horiz-decr|incr,"-1 .. 1, default 0",
scale_horizontally_head,head/head-scale-horiz-decr|incr,"-1 .. 1, default 0",
scale_lobe,ears/r-ear-lobe-decr|incr,"-1 .. 1, default 0",
,ears/l-ear-lobe-decr|incr,"-1 .. 1, default 0",
scale_lowerlip_height,mouth/mouth-lowerlip-height-decr|incr,"-1 .. 1, default 0",
scale_lowerlip_volume,mouth/mouth-lowerlip-volume-decr|incr,"-1 .. 1, default 0",
scale_lowerlip_width,mouth/mouth-lowerlip-width-decr|incr,"-1 .. 1, default 0",
scale_middle_lowerlip,mouth/mouth-lowerlip-middle-down|up,"-1 .. 1, default 0",
scale_middle_upperlip,mouth/mouth-upperlip-middle-down|up,"-1 .. 1, default 0",
scale_nostrils_flaring,nose/nose-flaring-decr|incr,"-1 .. 1, default 0",
scale_nostrils_width,nose/nose-nostrils-width-decr|incr,"-1 .. 1, default 0",
scale_philtrum_volume,mouth/mouth-philtrum-volume-decr|incr,"-1 .. 1, default 0",
scale_tip_width,nose/nose-point-width-decr|incr,"-1 .. 1, default 0",
scale_upperlip_height,mouth/mouth-upperlip-height-decr|incr,"-1 .. 1, default 0",
scale_upperlip_volume,mouth/mouth-upperlip-volume-decr|incr,"-1 .. 1, default 0",
scale_upperlip_width,mouth/mouth-upperlip-width-decr|incr,"-1 .. 1, default 0",
scale_vertically,head/head-scale-vert-decr|incr,"-1 .. 1, default 0",
,nose/nose-scale-vert-decr|incr,"-1 .. 1, default 0",
,forehead/forehead-scale-vert-decr|incr,"-1 .. 1, default 0",
,neck/neck-scale-vert-decr|incr,"-1 .. 1, default 0",
,torso/torso-scale-vert-decr|incr,"-1 .. 1, default 0",
,hip/hip-scale-vert-decr|incr,"-1 .. 1, default 0",
,mouth/mouth-scale-vert-decr|incr,"-1 .. 1, default 0",
scale_width,ears/l-ear-scale-depth-decr|incr,"-1 .. 1, default 0",
,ears/r-ear-scale-depth-decr|incr,"-1 .. 1, default 0",
scale_width_1,nose/nose-width1-decr|incr,"-1 .. 1, default 0",
scale_width_2,nose/nose-width2-decr|incr,"-1 .. 1, default 0",
scale_width_3,nose/nose-width3-decr|incr,"-1 .. 1, default 0",
septum_angle,nose/nose-septumangle-decr|incr,"-1 .. 1, default 0",
shoulder_dist,measure/measure-shoulder-dist-decr|incr,"-1 .. 1, default 0",
shoulder_muscle_mass,armslegs/r-upperarm-shoulder-muscle-decr|incr,"-1 .. 1, default 0",
,armslegs/l-upperarm-shoulder-muscle-decr|incr,"-1 .. 1, default 0",
square,head/head-square,"0 .. 1, default 0.5",
temple_bulge,forehead/forehead-temple-decr|incr,"-1 .. 1, default 0",
testicles_size,genitals/penis-testicles-decr|incr,"-1 .. 1, default 0",
thigh_circ,measure/measure-thigh-circ-decr|incr,"-1 .. 1, default 0",
tone_of_side_chin,chin/chin-jaw-drop-decr|incr,"-1 .. 1, default 0",
triangular,head/head-triangular,"0 .. 1, default 0.5",
underbust_circum,measure/measure-underbust-circ-decr|incr,"-1 .. 1, default 0",
upper_arm_circum,measure/measure-upperarm-circ-decr|incr,"-1 .. 1, default 0",
upperarm_length,armslegs/l-upperarm-scale-horiz-decr|incr,"-1 .. 1, default 0",
,armslegs/r-upperarm-scale-horiz-decr|incr,"-1 .. 1, default 0",
,measure/measure-upperarm-length-decr|incr,"-1 .. 1, default 0",
upperarm_muscles,armslegs/l-upperarm-muscle-decr|incr,"-1 .. 1, default 0",
,armslegs/r-upperarm-muscle-decr|incr,"-1 .. 1, default 0",
upperarm_skinny_fat,armslegs/r-upperarm-fat-decr|incr,"-1 .. 1, default 0",
,armslegs/l-upperarm-fat-decr|incr,"-1 .. 1, default 0",
upperarm_thickness_1,armslegs/l-upperarm-scale-depth-decr|incr,"-1 .. 1, default 0",
,armslegs/r-upperarm-scale-depth-decr|incr,"-1 .. 1, default 0",
upperarm_thickness_2,armslegs/r-upperarm-scale-vert-decr|incr,"-1 .. 1, default 0",
,armslegs/l-upperarm-scale-vert-decr|incr,"-1 .. 1, default 0",
upperleg_height,measure/measure-upperleg-height-decr|incr,"-1 .. 1, default 0",
upperleg_muscle,armslegs/r-upperleg-muscle-decr|incr,"-1 .. 1, default 0",
,armslegs/l-upperleg-muscle-decr|incr,"-1 .. 1, default 0",
upperleg_scale_depth,armslegs/r-upperleg-scale-depth-decr|incr,"-1 .. 1, default 0",
,armslegs/l-upperleg-scale-depth-decr|incr,"-1 .. 1, default 0",
upperleg_scale_horizontally,armslegs/r-upperleg-scale-horiz-decr|incr,"-1 .. 1, default 0",
,armslegs/l-upperleg-scale-horiz-decr|incr,"-1 .. 1, default 0",
upperleg_skinny_fat,armslegs/r-upperleg-fat-decr|incr,"-1 .. 1, default 0",
,armslegs/l-upperleg-fat-decr|incr,"-1 .. 1, default 0",
upperlegs_height,armslegs/upperlegs-height-decr|incr,"-1 .. 1, default 0",
upperlip_curved_shape,mouth/mouth-upperlip-ext-down|up,"-1 .. 1, default 0",
vertical_position,breast/breast-trans-down|up,"-1 .. 1, default 0",
volume,nose/nose-volume-decr|incr,"-1 .. 1, default 0",
waist_circum,measure/measure-waist-circ-decr|incr,"-1 .. 1, default 0",
waist_to_hip,measure/measure-waisttohip-dist-decr|incr,"-1 .. 1, default 0",
waist_vertical_position,hip/hip-waist-down|up,"-1 .. 1, default 0",
weight,setWeight,"0 .. 1, default 0.5",
wrist_circum,measure/measure-wrist-circ-decr|incr,"-1 .. 1, default 0",
